exit_code: 0

stdout:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         101  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         102  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         103  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         104  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root         105  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         107  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         108  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         109  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         110  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         111  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         113  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         114  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         115  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         116  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         117  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         119  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         120  0.0  0.0      0     0 ?        S     4월05   0:36  \_ [rcu_ex
root         121  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         122  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         123  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         124  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         126  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         127  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         128  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         129  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         130  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         132  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         133  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         134  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         135  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         136  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         138  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         139  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         140  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         141  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         142  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         144  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         145  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         146  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         147  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         148  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         150  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         151  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         152  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         153  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         154  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         156  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         157  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         158  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         159  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         160  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         162  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         163  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         164  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         165  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root         166  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         168  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         169  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         170  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         171  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         172  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         174  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         175  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         176  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         177  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         178  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         180  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         181  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         182  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         183  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         184  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         186  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         187  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         188  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         189  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root         190  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         192  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         193  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         194  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         195  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         196  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         198  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         199  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         200  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         201  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         202  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         204  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         205  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         206  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         207  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         208  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [ksofti
root         210  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         211  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         212  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         213  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         214  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         216  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         217  0.0  0.0      0     0 ?        S     4월05   0:43  \_ [rcu_ex
root         218  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         219  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         220  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         221  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         223  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         224  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         225  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         226  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         227  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         229  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         230  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         231  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         232  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root         233  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         235  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
